# label|n|expected_cells|negative_bound
n77|77|57817|1651326359189779370034385947418869650573831126890841185751121390616221187786579474490001243996771701980905626390443837050815217242322436932858921199743773171250981715296380185146278814043505390856557524191020695775111082922276535547723521538970133762815085093523066519804177687457159081533572641856986021888/906474918422142820615290332320451743732808376485632228133314932641334908884542997882828092094770000181444748726733315539579768094876785551338382875384168064014141403118683821450160370492737433987947870406287620426155626773834228515625
n79|79|68095|45703153001886260629195654384680100017643780031856819863057257867036431290583322136478894802782270092204504230757763772527163877261590727230649783827464665484187642322673472647897359716470146496370260946221615648318561583687379061555486110438248253983703652854279041139538313039167697821268478547701486583808/36258996736885712824611613292818069749312335059425289125332597305653396355381719915313123683790800007257789949069332621583190723795071422053535315015366722560565656124747352858006414819709497359517914816251504817046225070953369140625
n81|81|79060|4499615482745284437703751927836231493229544967349534225542624165075532671462442100821340779760073320937204350950664179314855121841328633164685414394283891844959009026853016693463377553288732087860082902517320357254507380592976478539986823616465899075403767680853513720653029982941074084805236533957667869529062147933154441178375155351552/377957624828843500598630478568728648166337329960983211893516576109153303652022022653887810169361760022753335856846298462706281918685061236428993008716705164775916309482444236753802218064594097843572977388306854299390902375982221883532474748790264129638671875
n83|83|91138|491232417957152743320559300920005585944057126440580273097270781322580150396318922380177349618927436495990088462258316246982514195056381826455821114185678902943480526109874035021923347018844823175100499868140977252440862330309061735752625421990641631527125748515348580370394305845593083553446379071938136588069485150208/13872460093953357658134325731507119450440503794791735297501849600520233263832371596591343117426783821656783984658252617288950638503362037620581468898863209704648032413129138820414963068966007548968453294043001733371056616306304931640625
n85|85|103495|471481412750522643747255192564089182764624760439199417101059392768469901461240028916184178343426206096684680288466284997918095272930777482331413760753987942237781472441030507023801152344724102177085037209668837487635206978968197889025679338179498806050031333243249711679570613762218558525819137818624/4243093590749235584689350627885996092220586607865738707570727736043053100209189656277427997651620771371696064244515144247945502014819159080036458744214283973280616883417830082807316108528539189137518405914306640625
n87|87|116526|173383051336698489184797916654428259431218030634094925102773804806825917725765168162307824343493291247008325363554922496875667678671580165662147938554423877925018480539695191804727394983027999782148859651478795454218609982440867095470930306407221617178947981472634919015860404224/640894745057756933808108686701417971696412555779318751326816974229021447354157975856570465294536832065561043101689980924367005933219090246045461228541451283472497379989363253116607666015625
n89|89|130740|6712797615535971124122195880385731056345551040655233750477426311966693596940141323875806021165861092140010846232244998015095357707866701466782592782722893127242098118901141216448512251632643047142417970380104140233970753110283748572042634752928680869142121542419600113664/7263171183320255618272479091917755671974560636672194516128108246424543674422877063883574709780610464321883347702886405649410971445413730638160723077018701587803661823272705078125
n91|91|69502|18807453827972912538912142213736769199169875671926613900240905199288526917071957163680981813684707156442899407775377079261670194382008397427130166077736248391595127484630997216641017695456366946038082604591216825532625178749699422226975536642086994081521420880197665685504/3515562467889850095589525210503683703744052405143809551696102139220186987708453015440063270007948509720227720069743091116648255991723686186499452333009685389697551727294921875
n93|93|53822|28444067748217153861334515594135948134770509304490793222932915765269802903312531971183119044045059132462687625719173464952851910137001588850006843112465981874613220135096659864546996169651250127456006999161264287919927057968162432538117029454727149648871424/3370501348788393277086868308973069127762696933277804841691799505569725734557772435348380903582638688595927274057759208879648532898990854531177193279640016625
n95|95|29784|7281681343543591388501635992098802722501250381949643065070826435909069543248008184622878475275535137910448032184108407027930088995072406745601751836791291359900984354584744925324031019430720032628737791785283657707501326839849582729757959540410150310111084544/3370501348788393277086868308973069127762696933277804841691799505569725734557772435348380903582638688595927274057759208879648532898990854531177193279640016625
n97|97|35869|6035849735288825720179691778329424359788743349481606027562333125652135975450440048062045470079682922803542136889439792715683348788346416669468466492387712507144984660236237893781092670185616210382480250489283510747740677825443867191781883904/158938045008844169578681181848015488538761486655286208537664650696101823340043343219626758080808475099690280425396080636892854975629665
n99|99|42662|1545177532233939384366001095252332636105918297467291143055957280166946809715312652303883640340398828237706787043696586935214937289816682667383927422051254401829116073020476900807959723567517749857914944125256578751421613523313630001096162279424/158938045008844169578681181848015488538761486655286208537664650696101823340043343219626758080808475099690280425396080636892854975629665
n101|101|49478|78175732741080204847253478659575801837145709308532975757099260631735112759331841487084463648216517164188433188517424799992682597955801718021489580467948761721571315387673486298582958815309040167654181044224/112373711645716493532060119988455996294843733162180531968138139381134343860472855523175419345
n103|103|56387|32792619091639333567633297169965480674822329285097725806624553269816830724105115082124027777499889799720343956826837515492882339351038627011090251052404248479513514496623852717096244309131264/6623325684952005659172060586652763981995431130803290968571264381678146465
n105|105|63660|88256219341204363184786594017836643706996015304758406190552668593274027308480688171220297783644197633060624292208993776434775802902238384497527225319424/786491246674649995696050304185
n107|107|70562|69991785043908121822732198329428716026778004100006196206914933204754653214235361280231389106197265801645342120005142258351341568/65
n109|109|77454|688718823812590957422069518012172655787054709853755137194230353572346130856513466687707982343214416632145052821353933059315990528
n111|111|84702|31231351434576858578291257370187694835508027217033197902720281996043094411122567017922271710357028207689014600269249833081564913729536
n113|113|91581|7995225967251675796042561886768049877890054967560498663096392190987032169247377156588101557851399221168387737668927957268880617914761216
n115|115|98455|1548108335651699028318815764896818617810507806955132482954751605038827232538488504850920842736259293559179310019618457704194018700818928107520
n117|117|111427|396315733926834951249616835813585566159489998580513915636416410889939771529853057241835735740482379151149903365022325172273668787409645595525120
n119|119|15000|101456827885269747519901909968277904936829439636611562402922601187824581511642382653909948349563489062694375261445715244102059209576869272454430720
n121|121|74053|25972947938629055365094888951879143663828336546972559975148185904083092866980449959400946777488253200049760066930103102490127157651678533748334264320
n123|123|28121|6649074672289038173464291571681060777940054156024975353637935591445271773946995189606642375036992819212738577134106394237472552358829704639573571665920
n125|125|8497|1702163116105993772406858642350351559152653863942393690531311511409989574130430768539300448009470161718461075746331236924792973403860404387730834346475520
n127|127|10528|435753757723134405736155812441689999143079389169252784776015746920957330977390276746060914690424361399926035391060796652747001191388263523259093592697733120
n129|129|12719|111552961977122407868455887985072639780628323627328712902660031211765076730211910846991594160748636518381065060111563943103232304995395461954327959730619678720
n131|131|17797|28557558266143336414324707324178595783840850848596150503080967990211859642934249176829848105151650948705552655388560369434427470078821238260307957691038637752320
n133|133|13558|7310734916132694122067125074989720520663257817240614528788727805494236068591167789268441114918822642868621479779471454575213432340178236994638837168905891264593920
